capacity_last_metric_bolt,capacity_elastic_search_bolt,pre_Message_dispatcher_bolt,check_message_bolt,message_dispatcher_bolt,metric_bolt,group_status_information_bolt,Real_time_merger_bolt
0.8240000000000001,0.009,0.0069999999999999,0.342,0.475,0.647,0.665,0.002
0.8220000000000001,0.009,0.0069999999999999,0.34,0.482,0.6709999999999999,0.662,0.002
0.8290000000000001,0.01,0.0069999999999999,0.346,0.475,0.6579999999999999,0.659,0.002
0.838,0.011,0.0069999999999999,0.346,0.467,0.6629999999999999,0.655,0.002
0.8290000000000001,0.01,0.0069999999999999,0.348,0.461,0.664,0.653,0.002
0.8290000000000001,0.009,0.008,0.348,0.465,0.652,0.6609999999999999,0.002
0.831,0.009,0.008,0.353,0.467,0.662,0.672,0.002
0.8290000000000001,0.01,0.008,0.35,0.462,0.657,0.669,0.002
0.8290000000000001,0.01,0.008,0.353,0.467,0.642,0.68,0.002
0.8290000000000001,0.011,0.008,0.354,0.465,0.6559999999999999,0.68,0.002
0.8340000000000001,0.011,0.008,0.362,0.472,0.6629999999999999,0.675,0.002
0.8270000000000001,0.01,0.008,0.362,0.462,0.6629999999999999,0.6659999999999999,0.002
0.831,0.009,0.008,0.361,0.494,0.662,0.669,0.002
0.8340000000000001,0.01,0.008,0.349,0.492,0.6629999999999999,0.6779999999999999,0.002
0.841,0.01,0.0069999999999999,0.352,0.503,0.674,0.659,0.002
0.8490000000000001,0.01,0.0069999999999999,0.354,0.515,0.674,0.653,0.002
0.8340000000000001,0.01,0.0069999999999999,0.361,0.519,0.68,0.669,0.002
0.845,0.01,0.0069999999999999,0.359,0.512,0.6759999999999999,0.6679999999999999,0.002
0.867,0.011,0.0069999999999999,0.354,0.502,0.6920000000000001,0.674,0.002
0.863,0.011,0.0069999999999999,0.364,0.492,0.7240000000000001,0.667,0.002
0.858,0.011,0.0069999999999999,0.361,0.489,0.721,0.674,0.002
0.843,0.01,0.0069999999999999,0.344,0.488,0.7020000000000001,0.675,0.002
0.8320000000000001,0.011,0.006,0.348,0.471,0.7020000000000001,0.6709999999999999,0.002
0.841,0.008,0.0069999999999999,0.351,0.466,0.6920000000000001,0.67,0.002
0.835,0.009,0.0069999999999999,0.347,0.465,0.691,0.6759999999999999,0.002
0.85,0.009,0.0069999999999999,0.34,0.465,0.684,0.6779999999999999,0.002
0.84,0.009,0.006,0.332,0.467,0.677,0.6709999999999999,0.002
0.853,0.009,0.0069999999999999,0.3379999999999999,0.479,0.667,0.6809999999999999,0.002
0.851,0.009,0.0069999999999999,0.3429999999999999,0.473,0.653,0.6629999999999999,0.002
0.8270000000000001,0.009,0.0069999999999999,0.344,0.472,0.664,0.688,0.002
0.8340000000000001,0.01,0.0069999999999999,0.351,0.471,0.654,0.679,0.002
0.8390000000000001,0.012,0.0069999999999999,0.342,0.479,0.65,0.691,0.002
0.84,0.012,0.006,0.344,0.473,0.6509999999999999,0.69,0.002
0.8270000000000001,0.013,0.006,0.35,0.4679999999999999,0.659,0.6829999999999999,0.002
0.841,0.0139999999999999,0.0069999999999999,0.351,0.484,0.653,0.672,0.002
0.838,0.012,0.0069999999999999,0.354,0.477,0.65,0.665,0.002
0.8270000000000001,0.012,0.0069999999999999,0.348,0.484,0.6459999999999999,0.664,0.002
0.8540000000000001,0.012,0.0069999999999999,0.349,0.47,0.6559999999999999,0.675,0.002
0.8490000000000001,0.013,0.0069999999999999,0.341,0.456,0.67,0.667,0.002
0.851,0.013,0.0069999999999999,0.344,0.467,0.662,0.6609999999999999,0.002
0.865,0.013,0.0069999999999999,0.35,0.471,0.645,0.664,0.002
0.846,0.009,0.0069999999999999,0.3429999999999999,0.477,0.6409999999999999,0.654,0.002
0.84,0.009,0.0069999999999999,0.353,0.487,0.665,0.649,0.002
0.8220000000000001,0.009,0.0069999999999999,0.347,0.492,0.657,0.6629999999999999,0.002
0.835,0.008,0.006,0.345,0.513,0.675,0.662,0.003
0.8290000000000001,0.0069999999999999,0.006,0.341,0.506,0.691,0.66,0.002
0.8370000000000001,0.008,0.0069999999999999,0.335,0.497,0.701,0.657,0.002
0.853,0.008,0.0069999999999999,0.35,0.487,0.698,0.654,0.002
0.853,0.009,0.008,0.336,0.486,0.685,0.65,0.002
0.867,0.009,0.0069999999999999,0.345,0.489,0.67,0.654,0.002
0.856,0.01,0.0069999999999999,0.352,0.5,0.638,0.662,0.002
0.843,0.01,0.006,0.356,0.499,0.644,0.6579999999999999,0.003
0.828,0.01,0.0069999999999999,0.351,0.506,0.655,0.657,0.002
0.8290000000000001,0.01,0.008,0.341,0.493,0.6609999999999999,0.6629999999999999,0.002
0.8270000000000001,0.011,0.008,0.35,0.492,0.664,0.657,0.002
0.8220000000000001,0.011,0.008,0.35,0.494,0.6579999999999999,0.652,0.002
